tStart, tEnd, accentuation
0.000000, 0.393448, 0
0.393448, 0.898105, 1
0.898105, 1.597866, 0.9
1.597866, 1.912278, 1
1.912278, 2.468546, 0.9
2.468546, 2.915979, 1
2.915979, 3.429922, 0.9
3.429922, 3.913633, 1
3.913633, 4.500132, 0.9
4.500132, 4.953611, 1
4.953611, 5.449415, 0.9
5.449415, 5.975451, 1
5.975451, 6.464286, 0.9
6.464286, 6.947997, 1
6.947997, 7.504265, 0.9
7.504265, 7.963790, 1
7.963790, 8.393084, 0.9
8.393084, 8.967491, 1
8.967491, 9.475387, 0.9
9.475387, 9.977238, 1
9.977238, 10.479088, 0.9
10.479088, 10.968845, 1
10.968845, 11.463172, 0.9
11.463172, 11.989207, 1
11.989207, 12.557568, 0.9
12.557568, 12.986861, 1
12.986861, 13.524990, 0.9
13.524990, 13.972423, 1
13.972423, 14.468226, 0.9
14.468226, 14.964030, 1
14.964030, 15.465880, 0.9
15.465880, 15.967731, 1
15.967731, 16.460770, 0.9
16.460770, 16.968667, 1
16.968667, 17.518888, 0.9
17.518888, 17.954228, 1
17.954228, 18.437939, 0.9
18.437939, 18.957928, 1
18.957928, 19.459778, 0.9
19.459778, 19.961629, 1
19.961629, 20.511850, 0.9
20.511850, 20.959283, 1
20.959283, 21.457876, 0.9
21.457876, 21.959726, 1
21.959726, 22.576458, 0.9
22.576458, 22.969473, 1
22.969473, 23.495509, 0.9
23.495509, 23.961081, 1
23.961081, 25.141746, 0.9
