tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.770659, 1.326195, 1
1.326195, 1.755922, 1
1.755922, 2.003028, 0.5
2.003028, 2.257348, 1
2.257348, 2.746148, 1
2.746148, 2.988666, 0.5
2.988666, 3.235771, 1
3.235771, 3.735393, 1
3.735393, 3.953640, 0.5
3.953640, 4.206156, 1
4.206156, 4.706040, 1
4.706040, 4.949538, 0.5
4.949538, 5.191232, 1
5.191232, 5.678229, 1
5.678229, 6.171156, 1
6.171156, 6.668974, 0.5
6.668974, 7.154499, 0.5
7.154499, 7.645103, 0.5
7.645103, 8.138593, 0.5
8.138593, 8.631000, 0.5
8.631000, 8.870891, 0.5
8.870891, 9.116900, 1
9.116900, 9.618326, 1
9.618326, 9.870842, 0.5
9.870842, 10.107387, 1
10.107387, 10.601598, 1
10.601598, 10.848703, 0.5
10.848703, 11.099416, 1
11.099416, 11.591594, 1
11.591594, 12.078590, 0.5
12.078590, 12.574605, 1
12.574605, 12.811337, 0.5
12.811337, 13.051227, 1
13.051227, 13.552653, 1
13.552653, 14.042652, 0.5
14.042652, 14.538667, 0.5
14.538667, 15.041896, 0.5
15.041896, 15.514866, 0.5
15.514866, 16.019195, 0.5
16.019195, 16.502280, 0.5
16.502280, 16.761969, 0.5
16.761969, 17.000056, 1
17.000056, 17.501481, 1
17.501481, 17.752035, 0.5
17.752035, 17.986515, 0.7
17.986515, 18.217387, 0.5
18.217387, 18.491548, 0.7
18.491548, 18.737949, 0.5
18.737949, 18.999484, 0.7
18.999484, 19.239375, 0.5
19.239375, 19.446078, 0.7
19.446078, 19.702130, 0.5
19.702130, 19.949307, 0.7
19.949307, 20.189127, 0.5
20.189127, 20.434428, 0.7
20.434428, 20.688099, 0.5
20.688099, 20.924382, 0.7
20.924382, 21.283174, 0.5
21.283174, 21.404021, 0.7
21.404021, 21.878391, 0.5
21.878391, 22.399224, 0.5
22.399224, 22.900650, 0.5
22.900650, 23.382235, 0.5
23.382235, 23.676989, 1
23.676989, 23.868180, 1
23.868180, 24.369606, 0.5
24.369606, 24.860209, 0.5
24.860209, 25.351824, 0.5
25.351824, 25.855054, 0.5
25.855054, 26.100355, 0.5
26.100355, 26.354676, 1
26.354676, 26.585434, 0.5
26.585434, 26.825325, 1
26.825325, 27.067019, 0.5
27.067019, 27.333966, 1
27.333966, 27.582875, 0.5
27.582875, 27.844410, 1
27.844410, 28.318550, 0.5
28.318550, 28.667796, 0.51
28.667796, 30.183379, 1
