tStart, tEnd, accentuation
0.000000,0.000001,0
0.294991,0.294991,1
0.696126,0.696126,1
1.048638,1.048638,1
1.376839,1.376839,1
1.863063,1.863063,1
2.410065,2.410065,1
2.908444,2.908444,1
3.455446,3.455446,1
3.710714,3.710714,1
4.233405,4.233405,0.5
4.476516,4.476516,1
4.999207,4.999207,1
5.558365,5.558365,1
5.825788,5.825788,1
6.0689,6.0689,1
6.603746,6.603746,1
7.138592,7.138592,1
7.649128,7.649128,1
7.953017,7.953017,1
8.439241,8.439241,0.5
8.682353,8.682353,1
9.2172,9.2172,1
9.761278,9.761278,1
10.028701,10.028701,1
10.265736,10.265736,1
10.80666,10.80666,1
11.323273,11.323273,1
11.852041,11.852041,1
12.113386,12.113386,1
12.643127,12.643127,0.5
12.910551,12.910551,1
13.439319,13.439319,1
13.955932,13.955932,1
14.229433,14.229433,1
14.484701,14.484701,1
15.013469,15.013469,1
15.53616,15.53616,1
16.064928,16.064928,1
16.338429,16.338429,1
16.858389,16.858389,0.5
17.107579,17.107579,1
17.636347,17.636347,1
17.891615,17.891615,0.7
18.165116,18.165116,1
18.426461,18.426461,1
18.681729,18.681729,1
19.216575,19.216575,1
19.745343,19.745343,1
20.268034,20.268034,1
20.536125,20.536125,1
20.827859,20.827859,0.3
21.326239,21.326239,1
21.848929,21.848929,1
22.104197,22.104197,0.7
22.368107,22.368107,1
22.637049,22.637049,1
22.896875,22.896875,1
23.421086,23.421086,1
23.954412,23.954412,1
24.464947,24.464947,1
24.747565,24.747565,1
