tStart, tEnd, accentuation
0.000000, 0.303308, 0
0.303308, 0.846352, 0.2
0.846352, 1.739358, 0.2
1.739358, 2.330672, 0.2
2.330672, 3.024562, 0.9
3.024562, 3.487658, 1
3.487658, 3.716943, 0.4
3.716943, 4.051820, 0.9  
4.051820, 4.556743, 0.4
4.556743, 4.656301, 0.4
4.656301, 5.084703, 0.4
5.084703, 5.826863, 0.9
5.826863, 6.237163, 1
6.237163, 6.463432, 0.4
6.463432, 6.807677, 0.9
6.807677, 7.293399, 0.4
7.293399, 7.426144, 0.4
7.426144, 7.839460, 0.4
7.839460, 8.521282, 0.9
8.521282, 9.042064, 1
9.042064, 9.232129, 0.4
9.232129, 9.582091, 0.9
9.582091, 10.101000, 0.4
10.101000, 10.260896, 0.4
10.260896, 10.601807, 0.4
10.601807, 11.306349, 0.9
11.306349, 11.780004, 1
11.780004, 12.030408, 0.4
12.030408, 12.329082, 0.9
12.329082, 12.869109, 0.4
12.869109, 13.018375, 0.4
13.018375, 13.365320, 0.4
13.365320, 14.053176, 0.9
14.053176, 14.585329, 1
14.585329, 14.751259, 0.4
14.751259, 15.092170, 0.9
15.092170, 15.608062, 0.4
15.608062, 15.783043, 0.4
15.783043, 16.126971, 0.4
16.126971, 16.818480, 0.9
16.818480, 17.352473, 1
17.352473, 17.512369, 0.4
17.512369, 17.853280, 0.9
17.853280, 18.167039, 0.4
18.167039, 18.366237, 0.3
18.366237, 18.541218, 0.4
18.541218, 18.882129, 0.4
18.882129, 19.576018, 0.9
19.576018, 20.087089, 1
20.087089, 20.265087, 0.4
20.265087, 20.609015, 0.9
20.609015, 21.133957, 0.4
21.133957, 21.245583, 0.4
21.245583, 21.640799, 0.4
21.640799, 22.328276, 0.9
22.328276, 22.853219, 1
22.853219, 22.952777, 0.4
22.952777, 23.369110, 0.9
23.369110, 23.869918, 0.4
23.869918, 23.972493, 0.4
23.972493, 24.400894, 0.4
24.400894, 25.089501, 0.9
