tStart, tEnd, accentuation
0.000000, 0.491209, 0
0.491209, 1.187852, 0.3
1.187852, 1.661776, 0.3
1.661776, 1.854337, 0.8
1.854337, 2.025313, 0.3
2.025313, 2.302700, 1
2.302700, 3.011597, 0.3
3.011597, 3.672023, 0.3
3.672023, 3.885412, 0.3
3.885412, 4.126444, 0.8
4.126444, 4.798988, 0.3
4.798988, 5.459414, 0.3
5.459414, 5.927278, 0.3
5.927278, 6.144891, 1
6.144891, 6.425934, 0.3
6.425934, 6.805317, 0.8
6.805317, 6.886415, 0.3
6.886415, 7.256011, 0.8
7.256011, 7.692551, 0.8
7.692551, 7.946731, 0.3
7.946731, 8.395389, 0.8
8.395389, 8.607157, 0.3
8.607157, 9.104286, 1
9.104286, 9.510236, 0.3
9.510236, 10.134308, 0.3
10.134308, 10.353862, 0.3
10.353862, 10.764439, 0.8
10.764439, 11.261273, 0.3
11.261273, 11.927758, 1
11.927758, 12.599189, 0.3
12.599189, 13.277791, 0.3
13.277791, 13.920040, 0.3
13.920040, 14.816765, 0.3
14.816765, 15.360094, 0.3
15.360094, 15.527851, 0.8
15.527851, 16.194336, 0.3
16.194336, 16.293173, 0.3
16.293173, 16.606345, 1
16.606345, 17.230417, 0.3
17.230417, 17.468610, 0.3
17.468610, 17.921138, 0.8
17.921138, 18.399795, 0.3
18.399795, 19.071983, 0.3
19.071983, 19.744526, 0.3
19.744526, 19.858652, 0.3
19.858652, 20.197954, 0.8
20.197954, 20.404952, 1
20.404952, 21.010847, 0.3
21.010847, 21.209799, 0.3
21.209799, 21.943926, 0.8
21.943926, 22.247717, 0.3
22.247717, 22.617313, 0.8
22.617313, 22.877848, 0.31
22.877848, 23.314093, 1
23.314093, 23.701865, 0.3
23.701865, 25.193991, 0.3
