tStart, tEnd, accentuation
0.000000, 1.291496, 0
1.291496, 1.618001, 1  
1.618001, 2.131568, 1  
2.131568, 2.397609, 0.5
2.397609, 2.730536, 0.5
2.730536, 3.063087, 1
3.063087, 3.238433, 0.5
3.238433, 3.861211, 1
3.861211, 4.514220, 1
4.514220, 5.167230, 1
5.167230, 5.342576, 0.5
5.342576, 5.663034, 1
5.663034, 5.838379, 0.5
5.838379, 6.309998, 1
6.309998, 6.467204, 0.5
6.467204, 6.805801, 1
6.805801, 7.277431, 1
7.277431, 7.603936, 0.5
7.603936, 7.930441, 0.5
7.930441, 8.269039, 1
8.269039, 8.450430, 0.5
8.450430, 9.091347, 1
9.091347, 9.744357, 1
9.744357, 10.403413, 1
10.403413, 10.566488, 0.5
10.566488, 10.884738, 1
10.884738, 11.066130, 0.5
11.066130, 11.386588, 1
11.386588, 11.694954, 0.5
11.694954, 12.023538, 1
12.023538, 12.519341, 1
12.519341, 12.845846, 0.5
12.845846, 13.166305, 0.5
13.166305, 13.498856, 1
13.498856, 13.656062, 0.5
13.656062, 14.298597, 1
14.298597, 14.951607, 1
14.951607, 15.604617, 1
15.604617, 15.779962, 0.5
15.779962, 16.112513, 1 
16.112513, 16.263673, 0.5
16.263673, 16.572039, 1
16.572039, 16.916683, 0.5
16.916683, 17.243636, 1  
17.243636, 17.739439, 1
17.739439, 18.059898, 0.5
18.059898, 18.386403, 0.5
18.386403, 18.706861, 1
18.706861, 18.888253, 0.5
18.888253, 19.529170, 1
19.529170, 20.182180, 1
20.182180, 20.829144, 1
20.829144, 21.196862, 1
21.196862, 21.662434, 0.5
21.662434, 22.140099, 1
22.140099, 22.472650, 1
22.472650, 22.938222, 1
22.938222, 23.270773, 0.5
23.270773, 23.609371, 0.5
23.609371, 23.929830, 1
23.929830, 24.099128, 0.5
24.099128, 24.262381, 1
24.262381, 24.746092, 0.5
24.746092, 25.141746, 1
