tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.955955, 1.137158, 0.6
1.137158, 1.300241, 0.5
1.300241, 1.614326, 0.2
1.614326, 1.940492, 1
1.940492, 2.236457, 0.7
2.236457, 2.441821, 0.2
2.441821, 2.598864, 0.5
2.598864, 2.774027, 0.7
2.774027, 2.937109, 0.5
2.937109, 3.269315, 0.8
3.269315, 3.607561, 0.7
3.607561, 3.778194, 0.6
3.778194, 3.947317, 0.5
3.947317, 4.223652, 0.5
4.223652, 4.592098, 1
4.592098, 4.833703, 0.7
4.833703, 5.075307, 0.2
5.075307, 5.250470, 0.6
5.250470, 5.575482, 0.7
5.575482, 5.907688, 0.8
5.907688, 6.245934, 0.7
6.245934, 6.409016, 1
6.409016, 6.567844, 0.5
6.567844, 6.895245, 0.2
6.895245, 7.221411, 0.8
7.221411, 7.508316, 0.7
7.508316, 7.722880, 1
7.722880, 7.895023, 0.5
7.895023, 8.055085, 0.6
8.055085, 8.212128, 0.5
8.212128, 8.541314, 1
8.541314, 8.876540, 0.7
8.876540, 9.045663, 1
9.045663, 9.214786, 0.5
9.214786, 9.528871, 0.2
9.528871, 9.858057, 0.8
9.858057, 10.187220, 0.7
10.187220, 10.356542, 1
10.356542, 10.522644, 0.5
10.522644, 10.851830, 0.6
10.851830, 11.187056, 0.8
11.187056, 11.513222, 0.7
11.513222, 11.691405, 0.6
11.691405, 11.871174, 0.5
11.871174, 12.171392, 0.2
12.171392, 12.497557, 1
12.497557, 12.815325, 0.7
12.815325, 12.986806, 0.2
12.986806, 13.158949, 0.5
13.158949, 13.334112, 0.6
13.334112, 13.485115, 0.5
13.485115, 13.817320, 0.8
13.817320, 14.149006, 0.7
14.149006, 14.321149, 0.6
14.321149, 14.484232, 0.5
14.484232, 14.804357, 0.5
14.804357, 15.133543, 1
15.133543, 15.462729, 0.7
15.462729, 15.637892, 0.2
15.637892, 15.797955, 0.5
15.797955, 16.124120, 0.6
16.124120, 16.453104, 0.8
16.453104, 16.788330, 0.7
16.788330, 16.954433, 1
16.954433, 17.121621, 0.5
17.121621, 17.440662, 0.2
17.440662, 17.772867, 0.8
17.772867, 18.091152, 1
18.091152, 18.269559, 0.2
18.269559, 18.444722, 0.5
18.444722, 18.610825, 0.6
18.610825, 18.761828, 0.5
18.761828, 19.091013, 1
19.091013, 19.429259, 0.7
19.429259, 19.603938, 1
19.603938, 19.764000, 0.5
19.764000, 20.075066, 0.5
20.075066, 20.410292, 0.8
20.410292, 20.739477, 0.7
20.739477, 20.908600, 1
20.908600, 21.068663, 0.5
21.068663, 21.397849, 0.6
21.397849, 21.730055, 0.8
21.730055, 22.062578, 0.7
22.062578, 22.237741, 0.6
22.237741, 22.404758, 0.5
22.404758, 22.717929, 0.2
22.717929, 23.047115, 0.8
23.047115, 23.371751, 0.7
23.371751, 23.548444, 0.2
23.548444, 23.711527, 0.5
23.711527, 23.879613, 0.6
23.879613, 24.036656, 0.5
24.036656, 24.365841, 0.8
24.365841, 24.698047, 0.7
24.698047, 25.115624, 0.2
