tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.310796, 0.755205, 1
0.755205, 1.416475, 1
1.416475, 1.900186, 1
1.900186, 2.057392, 0.7
2.057392, 2.383897, 1
2.383897, 2.734587, 0.7
2.734587, 3.018767, 1
3.018767, 3.339226, 0.7
3.339226, 4.016421, 1
4.016421, 4.475947, 1
4.475947, 4.651292, 0.7
4.651292, 4.959658, 0.5
4.959658, 5.231745, 0.7
5.231745, 5.600575, 1
5.600575, 5.927080, 0.7
5.927080, 6.584411, 1
6.584411, 7.056029, 1
7.056029, 7.213235, 0.7
7.213235, 7.533694, 0.5
7.533694, 7.769503, 0.7
7.769503, 8.132286, 1
8.132286, 8.501116, 0.7
8.501116, 9.166219, 0.5
9.166219, 9.619698, 1
9.619698, 9.788997, 0.7
9.788997, 10.133641, 1
10.133641, 10.508517, 0.7
10.508517, 10.768511, 1
10.768511, 11.095016, 0.7
11.095016, 11.753285, 0.5
11.753285, 12.215834, 1
12.215834, 12.383621, 0.7
12.383621, 12.710126, 1
12.710126, 13.063840, 0.7
13.063840, 13.317788, 1
13.317788, 13.671502, 0.7
13.671502, 14.324512, 0.5
14.324512, 14.759851, 1
14.759851, 14.954847, 0.7
14.954847, 15.362979, 1
15.362979, 15.679812, 0.7
15.679812, 15.938295, 1
15.938295, 16.246661, 0.7
16.246661, 16.904205, 0.5
16.904205, 17.371289, 1
17.371289, 17.539076, 0.7
17.539076, 17.865581, 0.5
17.865581, 18.319060, 0.7
18.319060, 18.516889, 1
18.516889, 18.829789, 0.7
18.829789, 19.500938, 0.5
19.500938, 20.153948, 1
20.153948, 20.811493, 1
20.811493, 21.419155, 1
21.419155, 22.424191, 1
22.424191, 22.786975, 0.5
22.786975, 23.281267, 0.5
23.281267, 23.961486, 0.5
23.961486, 24.632635, 0.2
24.632635, 25.141746, 1
