tStart, tEnd, accentuation
0.000000, 0.545795, 0
0.545795, 1.046430, 1
1.046430, 1.210087, 0.2
1.210087, 1.376053, 0.8
1.376053, 1.854028, 0.2
1.854028, 2.497968, 1
2.497968, 3.143927, 0.8
3.143927, 3.787867, 1
3.787867, 4.437854, 0.8
4.437854, 5.077152, 1
5.077152, 5.727139, 0.8
5.727139, 6.374102, 1
6.374102, 7.017321, 0.8
7.017321, 7.500239, 1
7.500239, 7.664284, 0.2
7.664284, 7.819729, 0.8
7.819729, 8.308225, 0.2
8.308225, 8.787765, 1
8.787765, 8.954183, 0.2
8.954183, 9.116549, 0.8
9.116549, 9.595100, 0.2
9.595100, 10.084585, 1
10.084585, 10.236018, 0.2
10.236018, 10.399529, 0.8
10.399529, 10.884905, 0.2
10.884905, 11.370363, 1
11.370363, 11.528845, 0.2
11.528845, 11.689853, 0.8
11.689853, 12.173765, 0.2
12.173765, 12.820728, 1
12.820728, 12.995011, 0.8
12.995011, 13.153799, 0.1
13.153799, 13.308761, 0.1
13.308761, 13.467692, 0.1
13.467692, 14.115576, 1
14.115576, 14.301856, 0.8
14.301856, 14.441514, 0.1
14.441514, 14.598389, 0.1
14.598389, 14.763117, 0.1
14.763117, 15.401011, 1
15.401011, 15.587339, 0.8
15.587339, 15.734649, 0.1
15.734649, 15.893438, 0.1
15.893438, 16.043510, 0.1
16.043510, 16.696520, 1
16.696520, 17.336054, 1
17.336054, 17.983018, 1
17.983018, 18.148779, 0.8
18.148779, 18.311149, 0.1
18.311149, 18.470027, 0.1
18.470027, 18.633005, 0.1
18.633005, 19.274842, 1
19.274842, 19.434220, 0.8
19.434220, 19.601828, 0.1
19.601828, 19.758960, 0.1
19.758960, 19.921806, 0.1
19.921806, 20.570764, 1
20.570764, 20.726322, 0.8
20.726322, 20.891578, 0.1
20.891578, 21.048360, 0.1
21.048360, 21.211682, 0.1
21.211682, 21.854003, 1
21.854003, 22.497943, 1
22.497943, 23.148651, 1
23.148651, 23.786545, 0.8
23.786545, 24.430486, 1
24.430486, 25.141746, 0.8
