tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.135977, 1.608230, 1
1.608230, 3.020145, 1
3.020145, 4.419992, 1
4.419992, 5.131983, 1
5.131983, 5.807771, 1
5.807771, 6.568033, 1
6.568033, 7.111077, 0.5
7.111077, 7.967880, 1
7.967880, 8.619533, 0.5
8.619533, 9.343591, 1
9.343591, 10.031447, 0.5
10.031447, 10.719303, 1
10.719303, 11.431294, 1
11.431294, 12.155353, 1
12.155353, 12.850905, 0.5
12.850905, 13.550828, 1
13.550828, 14.262820, 0.5
14.262820, 14.986878, 1
14.986878, 15.662667, 0.5
15.662667, 16.362590, 1
16.362590, 17.086649, 1
17.086649, 17.798640, 1
17.798640, 18.474428, 0.7
18.474428, 19.186419, 1
19.186419, 19.933383, 0.5
19.933383, 20.621239, 1
20.621239, 21.321163, 0.5
21.321163, 21.984883, 1
21.984883, 22.696874, 1
22.696874, 23.433001, 1
23.433001, 24.072586, 0.7
24.072586, 24.808712, 1
24.808712, 25.089501, 0.5
