tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.432785, 0.782619, 0.2
0.782619, 0.965142, 0.5
0.965142, 1.132454, 0.5
1.132454, 1.388526, 0.5
1.388526, 1.789535, 1
1.789535, 2.118075, 0.8
2.118075, 2.696063, 1
2.696063, 3.090660, 0.8
3.090660, 3.498293, 1
3.498293, 3.756867, 0.8
3.756867, 4.514335, 1
4.514335, 4.821581, 0.2
4.821581, 5.562103, 0.2
5.562103, 5.671617, 0.5
5.671617, 6.279584, 0.5
6.279584, 6.906244, 0.7
6.906244, 7.429475, 0.9
7.429475, 7.855361, 0.2
7.855361, 8.326283, 0.5
8.326283, 8.752169, 0.2
8.752169, 9.154834, 0.2
9.154834, 9.675023, 0.2
9.675023, 10.180001, 0.5
10.180001, 10.655260, 0.2
10.655260, 11.029431, 0.3
11.029431, 11.461401, 0.2
11.461401, 11.817319, 0.5
11.817319, 12.389223, 0.2
12.389223, 12.870993, 0.8
12.870993, 13.321215, 0.5
13.321215, 13.637587, 0.8
13.637587, 14.227743, 0.8
14.227743, 14.411072, 0.5
14.411072, 14.563174, 0.5
14.563174, 14.721361, 0.5
14.721361, 14.864336, 0.5
14.864336, 15.010354, 0.5
15.010354, 15.168540, 0.5
15.168540, 15.335853, 0.5
15.335853, 15.494039, 0.5
15.494039, 15.637015, 0.5
15.637015, 15.783033, 0.5
15.783033, 15.935135, 0.5
15.935135, 16.090279, 0.5
16.090279, 16.257591, 0.5
16.257591, 17.817611, 0.8
17.817611, 17.955915, 1
17.955915, 18.104975, 1
18.104975, 18.254035, 1
18.254035, 18.397011, 1
18.397011, 18.546071, 1
18.546071, 18.695131, 1
18.695131, 18.871570, 1
18.871570, 19.035840, 1
19.035840, 19.194026, 1
19.194026, 19.343086, 1
19.343086, 19.483020, 1
19.483020, 19.638164, 1
19.638164, 20.121966, 0.2
20.121966, 20.581315, 0.3
20.581315, 21.013284, 0.2
21.013284, 21.312591, 0.3
21.312591, 21.473819, 0.4
21.473819, 22.112648, 0.5
22.112648, 22.410768, 0.4
22.410768, 22.696720, 0.4
22.696720, 22.867074, 0.4
22.867074, 23.788812, 0.5
23.788812, 25.298481, 0.3
