tStart, tEnd, accentuation
0.000000, 0.163115, 0
0.163115, 0.589732, 1
0.589732, 1.036612, 0.6
1.036612, 1.454795, 1
1.454795, 1.893908, 0.6
1.893908, 2.363981, 1 
2.363981, 2.843781, 0.6
2.843781, 3.302988, 0.8
3.302988, 3.768401, 0.6
3.768401, 4.233813, 1
4.233813, 4.686815, 0.6
4.686815, 5.158433, 0.8
5.158433, 5.630050, 0.6
5.630050, 6.079958, 1
6.079958, 6.539165, 0.6
6.539165, 6.998372, 0.8
6.998372, 7.507223, 0.6
7.507223, 7.972636, 1
7.972636, 8.444254, 0.6
8.444254, 8.891050, 0.8
8.891050, 9.336115, 0.6
9.336115, 9.820144, 0.8
9.820144, 10.266939, 0.6
10.266939, 10.713735, 1
10.713735, 11.203970, 0.6
11.203970, 11.675588, 1
11.675588, 12.109973, 0.6
12.109973, 12.550563, 1
12.550563, 13.044432, 0.6
13.044432, 13.522255, 0.8
13.522255, 14.006284, 0.6
14.006284, 14.477902, 1 
14.477902, 14.945336, 0.6
14.945336, 15.392132, 1
15.392132, 15.838928, 0.6
15.838928, 16.304340, 0.8
16.304340, 16.763547, 0.6
16.763547, 17.228960, 0.8
17.228960, 17.688167, 0.6
17.688167, 18.159785, 1
18.159785, 18.618992, 0.6
18.618992, 19.140253, 1
19.140253, 19.551873, 0.6
19.551873, 19.980053, 1
19.980053, 20.433054, 0.6
20.433054, 20.886056, 1
20.886056, 21.357674, 0.6
21.357674, 21.823086, 0.8
21.823086, 22.282953, 0.6
22.282953, 22.723543, 1
22.723543, 23.176545, 0.6
23.176545, 23.617135, 0.8
23.617135, 24.119781, 0.6
24.119781, 24.591399, 0.8
24.591399, 25.089501, 0.6
