tStart, tEnd, accentuation
0.000000, 0.577800, 0.0
0.577822, 0.881084, 0.2
0.881084, 1.196476, 0.7
1.196476, 1.493673, 1
1.493673, 1.809065, 1
1.809065, 2.118392, 0.7
2.118392, 2.724915, 1
2.724915, 3.009981, 1
3.009981, 3.319308, 0.7
3.319308, 3.634700, 0.2
3.634700, 3.931897, 1
3.931897, 4.253354, 1
4.253354, 4.562681, 0.7
4.562681, 5.144944, 1
5.144944, 5.454271, 1
5.454271, 5.741054, 0.7
5.741054, 6.074642, 0.2
6.074642, 6.383969, 1
6.383969, 6.687231, 1
6.687231, 6.972297, 0.7
6.972297, 7.577884, 1
7.577884, 7.905406, 1
7.905406, 8.220799, 0.7
8.220799, 8.511930, 0.2
8.511930, 8.815192, 1
8.815192, 9.118453, 1
9.118453, 9.424617, 0.7
9.424617, 10.000814, 1
10.000814, 10.304076, 1
10.304076, 10.637664, 0.7
10.637664, 10.946991, 0.2
10.946991, 11.244187, 1
11.244187, 11.589906, 1
11.589906, 11.862841, 0.7
11.862841, 12.463299, 1
12.463299, 12.798663, 1
12.798663, 13.107990, 0.7
13.107990, 13.417317, 0.2
13.417317, 13.708449, 1
13.708449, 14.023841, 1
14.023841, 14.327102, 0.7
14.327102, 14.927561, 1
14.927561, 15.224757, 1
15.224757, 15.546215, 0.7
15.546215, 15.825215, 0.2
15.825215, 16.122412, 1
16.122412, 16.462065, 1
16.462065, 16.766144, 0.7
16.766144, 17.372667, 1
17.372667, 17.669864, 1
17.669864, 17.979191, 0.7
17.979191, 18.282452, 0.2
18.282452, 18.585714, 1
18.585714, 18.913237, 1
18.913237, 19.211404, 0.7
19.211404, 19.811862, 1
19.811862, 20.127254, 1
20.127254, 20.448712, 0.7
20.448712, 20.758038, 0.2
20.758038, 21.067365, 1
21.067365, 21.358497, 1
21.358497, 21.655693, 0.7
21.655693, 22.292543, 1
22.292543, 22.595805, 1
22.595805, 22.893001, 0.7
22.893001, 23.184132, 0.2
23.184132, 23.499524, 1
23.499524, 23.827047, 1
23.827047, 24.126746, 0.7
24.126746, 24.739335, 1
24.739335, 25.220113, 1
