tStart, tEnd, accentuation
0.000000, 0.000001, 0.0
0.365160, 0.722639, 0.7
0.722639, 1.304298, 0.5
1.304298, 1.449713, 0.2
1.449713, 1.807191, 0.7
1.807191, 2.164669, 0.7
2.164669, 2.510029, 0.7
2.510029, 2.879625, 0.7
2.879625, 3.218927, 1
3.218927, 3.576405, 0.7
3.576405, 4.164123, 0.5
4.164123, 4.303479, 0.2
4.303479, 4.660957, 0.7
4.660957, 5.006318, 0.7
5.006318, 5.575859, 0.5
5.575859, 5.727333, 0.2
5.727333, 6.076361, 0.7
6.076361, 6.445957, 0.7
6.445957, 7.003381, 0.5
7.003381, 7.148796, 0.2
7.148796, 7.506274, 1
7.506274, 7.869811, 1
7.869811, 8.221230, 1
8.221230, 8.566590, 1
8.566590, 8.936186, 0.7
8.936186, 9.305783, 1
9.305783, 9.860803, 0.5
9.860803, 10.012277, 0.2
10.012277, 10.363696, 0.7
10.363696, 10.702998, 0.7
10.702998, 11.084712, 0.5
11.084712, 11.436131, 0.7
11.436131, 11.775432, 1
11.775432, 12.145028, 0.7
12.145028, 12.702452, 0.5
12.702452, 12.859985, 0.2
12.859985, 13.213332, 0.7
13.213332, 13.582928, 0.7
13.582928, 13.916170, 0.7
13.916170, 14.285766, 0.7
14.285766, 14.661421, 1
14.661421, 14.994664, 0.7
14.994664, 15.558146, 0.5
15.558146, 15.758092, 0.2
15.758092, 16.067098, 0.7
16.067098, 16.412458, 0.7
16.412458, 16.606345, 0.4
16.606345, 16.818408, 0.4
17.133474, 17.497011, 1
17.497011, 17.854489, 0.7
17.854489, 18.440242, 0.5
18.440242, 18.573539, 0.2
18.573539, 18.937076, 1
18.937076, 19.288496, 1
19.288496, 19.639915, 1
19.639915, 19.997393, 1
19.997393, 20.366989, 0.7
20.366989, 20.712349, 1
20.712349, 21.281891, 0.5
21.281891, 21.421247, 0.2
21.421247, 21.778725, 0.7
21.778725, 22.124085, 0.7
22.124085, 22.481563, 0.5
22.481563, 22.841494, 0.7
22.841494, 23.205031, 0.7
23.205031, 23.562510, 0.7
23.562510, 25.193991, 0.5
