tStart, tEnd, accentuation
0.000000, 0.370673, 0.5
0.000000, 1.412796, 0.6
0.000000, 2.395368, 0.5
0.000000, 3.427508, 0.6
0.000000, 4.427189, 0.5
0.000000, 5.460623, 0.6
0.000000, 6.461060, 0.5
0.000000, 7.477312, 0.6
0.000000, 8.461934, 0.5
0.000000, 9.482043, 0.6
0.000000, 10.462809, 0.5
0.000000, 11.480818, 0.6
0.000000, 12.487503, 0.5
0.000000, 13.479594, 0.6
0.000000, 14.464558, 0.5
0.000000, 15.445910, 0.6
0.000000, 16.501871, 0.5
0.000000, 17.514804, 0.6
0.000000, 18.466307, 0.5
0.000000, 19.466744, 0.6
0.000000, 20.467181, 0.5
0.000000, 21.455490, 0.6
0.000000, 22.491657, 0.5
0.000000, 23.462319, 0.6
0.000000, 24.635670, 0.5
