tStart, tEnd, accentuation
0.000000, 0.118790, 0.5
0.000000, 0.635495, 0
0.000000, 1.173618, 0.5
0.000000, 1.660873, 0
0.000000, 2.156459, 0.5
0.000000, 2.656802, 0
0.000000, 3.178861, 0.5
0.000000, 3.668793, 0
0.000000, 4.180144, 0.5
0.000000, 4.683462, 0
0.000000, 5.197490, 0.5
0.000000, 5.722227, 0
0.000000, 6.220193, 0.5
0.000000, 6.715480, 0
0.000000, 7.224153, 0.5
0.000000, 7.724795, 0
0.000000, 8.225436, 0.5
0.000000, 8.716884, 0
0.000000, 9.217525, 0.5
0.000000, 9.728875, 0
0.000000, 10.224162, 0.5
0.000000, 10.713399, 0
0.000000, 11.224749, 0.5
0.000000, 11.749486, 0
0.000000, 12.250127, 0.5
0.000000, 12.742737, 0
0.000000, 13.228250, 0.5
0.000000, 13.723537, 0
0.000000, 14.226855, 0.5
0.000000, 14.724820, 0
0.000000, 15.212075, 0.5
0.000000, 15.719936, 0
0.000000, 16.258058, 0.5
0.000000, 16.758700, 0
0.000000, 17.272727, 0.5
0.000000, 17.751951, 0
0.000000, 18.231175, 0.5
0.000000, 18.707721, 0
0.000000, 19.229781, 0.5
0.000000, 19.718202, 0
0.000000, 20.229553, 0.5
0.000000, 20.727517, 0
0.000000, 21.225481, 0.5
0.000000, 21.710059, 0
0.000000, 22.237126, 0.5
0.000000, 22.721704, 0
0.000000, 23.216991, 0.5
0.000000, 23.720310, 0
0.000000, 24.328972, 0.5
