tStart, tEnd, accentuation
0.000000, 1.280013, 0.7
0.000000, 2.286300, 0.7
0.000000, 3.235084, 0.7
0.000000, 4.230779, 0.6
0.000000, 5.219496, 0.6
0.000000, 6.197671, 0.6
0.000000, 7.155374, 0.6
0.000000, 8.140102, 0.6
0.000000, 9.116545, 0.7
0.000000, 10.101665, 0.5
0.000000, 11.080716, 0.6
0.000000, 12.072299, 0.5
0.000000, 13.053029, 0.6
0.000000, 14.055322, 0.6
0.000000, 15.018464, 0.6
0.000000, 16.035310, 0.7
0.000000, 17.040544, 0.7
0.000000, 17.972579, 0.5
0.000000, 18.926391, 0.6
0.000000, 19.932630, 0.6
0.000000, 20.915985, 0.6
0.000000, 21.875573, 0.6
0.000000, 22.901027, 0.6
