tStart, tEnd, accentuation
0.000000, 1.526852, 0
0.000000, 2.028398, 0.6
0.000000, 2.525152, 0
0.000000, 3.005933, 0.6
0.000000, 3.482836, 0
0.000000, 4.000355, 0.6
0.000000, 4.495512, 0
0.000000, 4.981501, 0.6
0.000000, 5.455118, 0
0.000000, 5.892772, 0
0.000000, 6.449243, 0
0.000000, 6.930823, 0.4
0.000000, 7.408409, 0
0.000000, 7.898913, 0.4
0.000000, 8.379694, 0
0.000000, 8.881240, 0
0.000000, 9.362124, 0
0.000000, 9.852489, 0
0.000000, 10.354035, 0
0.000000, 10.842803, 0.5
0.000000, 11.332758, 0
0.000000, 11.835901, 0.5
0.000000, 12.324669, 0
0.000000, 12.815034, 0.5
0.000000, 13.315781, 0
0.000000, 13.817327, 0.4
0.000000, 14.306095, 0
0.000000, 14.791501, 0.5
0.000000, 15.267491, 0
0.000000, 15.804177, 0.5
0.000000, 16.299333, 0.4
0.000000, 16.794490, 0.4
0.000000, 17.280158, 0
0.000000, 17.743369, 0
0.000000, 18.206580, 0
0.000000, 18.691355, 0
0.000000, 19.196284, 0
0.000000, 19.694635, 0.5
0.000000, 20.191389, 0
0.000000, 20.683351, 0.5
0.000000, 21.158394, 0
0.000000, 21.639175, 0.5
0.000000, 22.143916, 0
0.000000, 22.648656, 0.6
