tStart, tEnd, accentuation
0.000000, 0.186931, 0
0.000000, 0.912545, 0
0.000000, 1.858745, 0.8
0.000000, 2.903629, 0.8
0.000000, 3.967748, 0
0.000000, 5.008178, 0.8
0.000000, 6.057432, 0.8
0.000000, 7.107925, 0.8
0.000000, 8.200691, 0
0.000000, 9.230184, 0.8
0.000000, 10.253783, 0.8
0.000000, 11.335841, 0.8
0.000000, 12.417222, 0
0.000000, 13.419746, 0.8
0.000000, 14.467871, 0.8
0.000000, 15.534702, 0.8
0.000000, 16.590019, 0
0.000000, 17.634449, 0.8
0.000000, 18.678223, 0.8
0.000000, 19.734993, 0.8
0.000000, 20.826159, 0
0.000000, 21.831115, 0.8
0.000000, 22.872102, 0.8
0.000000, 23.935278, 0.8
0.000000, 25.006412, 0
