tStart, tEnd, accentuation
0.000000, 0.297225, 1.0
0.000000, 0.662934, 1.0
0.000000, 1.028643, 1.0
0.000000, 1.353718, 1.0
0.000000, 1.754257, 0
0.000000, 2.001805, 0
0.000000, 2.260259, 0
0.000000, 2.519142, 0
0.000000, 2.784224, 0
0.000000, 3.045030, 0
0.000000, 3.301561, 0
0.000000, 3.575193, 0
0.000000, 3.843321, 0
0.000000, 4.108403, 0
0.000000, 4.364934, 0
0.000000, 4.625740, 0
0.000000, 4.890822, 0.5
0.000000, 5.147790, 0.5
0.000000, 5.420698, 0.5
0.000000, 5.681504, 0
0.000000, 5.942310, 0
0.000000, 6.207392, 0
0.000000, 6.470591, 0
0.000000, 6.735673, 0
0.000000, 6.996480, 0
0.000000, 7.261561, 0
0.000000, 7.518092, 0.2
0.000000, 7.780785, 0
0.000000, 8.050142, 0
0.000000, 8.310949, 0
0.000000, 8.571755, 0
0.000000, 8.832561, 0
0.000000, 9.089092, 0.5
0.000000, 9.362725, 0.5
0.000000, 9.619256, 0.5
0.000000, 9.884337, 0
0.000000, 10.153695, 0
0.000000, 10.412331, 0.2
0.000000, 10.668861, 0.2
0.000000, 10.933943, 0
0.000000, 11.199025, 0
0.000000, 11.468382, 0.2
0.000000, 11.720637, 0.2
0.000000, 11.989995, 0
0.000000, 12.255077, 0
0.000000, 12.515883, 0
0.000000, 12.776689, 0
0.000000, 13.045905, 0.2
0.000000, 13.298160, 0.5
0.000000, 13.567517, 0.5
0.000000, 13.824048, 0
0.000000, 14.093405, 0
0.000000, 14.354211, 0
0.000000, 14.619293, 0.2
0.000000, 14.874667, 0.2
0.000000, 15.148300, 0
0.000000, 15.404830, 0
0.000000, 15.669912, 0.2
0.000000, 15.930718, 0.2
0.000000, 16.195800, 0
0.000000, 16.457478, 0
0.000000, 16.722560, 0
0.000000, 16.983366, 0
0.000000, 17.248448, 0
0.000000, 17.504978, 0
0.000000, 17.769119, 0.5
0.000000, 18.038476, 0.5
0.000000, 18.293559, 0
0.000000, 18.562917, 0
0.000000, 18.832274, 0
0.000000, 19.088805, 0
0.000000, 19.349032, 0
0.000000, 19.614114, 0
0.000000, 19.879196, 0
0.000000, 20.121597, 0.5
0.000000, 20.416607, 0
0.000000, 20.668862, 0
0.000000, 20.929669, 0
0.000000, 21.188379, 0
0.000000, 21.449185, 0
0.000000, 21.705716, 0
0.000000, 21.979349, 0
0.000000, 22.244430, 0
0.000000, 22.505237, 0
0.000000, 22.770318, 0
0.000000, 23.035400, 0
0.000000, 23.287656, 0
0.000000, 23.565564, 0
0.000000, 23.817819, 0
0.000000, 24.082901, 0
0.000000, 24.347983, 0
0.000000, 24.608789, 0
0.000000, 24.886697, 0
0.000000, 25.134677, 0
