tStart, tEnd, accentuation
0.000000, 0.542879, 0
0.000000, 1.240191, 0
0.000000, 1.920214, 0
0.000000, 2.738547, 0
0.000000, 3.314301, 0
0.000000, 4.050264, 0.5
0.000000, 4.706128, 0.5
0.000000, 5.513241, 0
0.000000, 6.144525, 0
0.000000, 6.855973, 0.5
0.000000, 7.497278, 0.5
0.000000, 8.208725, 0
0.000000, 8.880091, 0
0.000000, 9.611580, 0.5
0.000000, 10.212803, 0.5
0.000000, 10.990397, 0
0.000000, 11.606650, 0
0.000000, 12.328118, 0.5
0.000000, 12.989464, 0.5
0.000000, 13.740993, 0
0.000000, 14.377555, 0
0.000000, 15.132842, 0.5
0.000000, 15.752854, 0.5
0.000000, 16.530687, 0
0.000000, 17.151838, 0
0.000000, 17.850760, 0.5
0.000000, 18.459499, 0.5
0.000000, 19.271150, 0
0.000000, 19.834797, 0
0.000000, 20.634061, 0.5
0.000000, 21.261296, 0.5
0.000000, 22.070632, 0
0.000000, 22.677634, 0
0.000000, 23.365570, 0.5
0.000000, 24.053505, 0.5
0.000000, 24.721207, 0
