tStart, tEnd, accentuation
0.000000, 0.480077, 0.5
0.000000, 1.426519, 0
0.000000, 2.311376, 0.5
0.000000, 3.212540, 0
0.000000, 4.142614, 0.5
0.000000, 5.028055, 0
0.000000, 5.927000, 0
0.000000, 6.794476, 0
0.000000, 7.698813, 0.5
0.000000, 8.582542, 0
0.000000, 9.469678, 0.5
0.000000, 10.354356, 0
0.000000, 11.236576, 0.5
0.000000, 12.167488, 0
0.000000, 13.052166, 0
0.000000, 13.927014, 0.5
0.000000, 14.814149, 0.5
0.000000, 15.698674, 0
0.000000, 16.583352, 0.5
0.000000, 17.466567, 0
0.000000, 18.351245, 0.5
0.000000, 19.299137, 0
0.000000, 20.122379, 0
0.000000, 21.003545, 0.5
0.000000, 21.934914, 0.5
