tStart, tEnd, accentuation
0.000000, 0.733680, 0
0.000000, 1.195198, 0
0.000000, 1.671522, 0
0.000000, 2.107775, 0
0.000000, 2.531837, 0
0.000000, 2.986699, 0
0.000000, 3.448697, 0
0.000000, 3.918068, 0
0.000000, 4.364069, 0
0.000000, 4.816238, 0
0.000000, 5.261034, 0
0.000000, 5.708288, 0
0.000000, 6.148169, 0
0.000000, 6.580679, 0
0.000000, 7.025475, 0
0.000000, 7.485016, 0
0.000000, 7.928864, 0
0.000000, 8.371203, 0
0.000000, 8.811084, 0
0.000000, 9.255881, 0
0.000000, 9.695762, 0
0.000000, 10.143016, 0
0.000000, 10.582898, 0
0.000000, 11.030152, 0
0.000000, 11.481862, 0
0.000000, 11.946318, 0.5
0.000000, 12.391115, 0
0.000000, 12.833454, 0
0.000000, 13.278250, 0.5
0.000000, 13.720589, 0
0.000000, 14.158013, 0
0.000000, 14.595437, 0
0.000000, 15.040080, 0
0.000000, 15.487334, 0
0.000000, 15.929673, 0
0.000000, 16.379384, 0
0.000000, 16.812888, 0
0.000000, 17.250312, 0
0.000000, 17.700023, 0
0.000000, 18.134990, 0
0.000000, 18.606139, 0
0.000000, 19.068137, 0.5
0.000000, 19.522764, 0
0.000000, 19.928241, 0
0.000000, 20.367068, 0.5
0.000000, 20.799578, 0
0.000000, 21.249289, 0
0.000000, 21.718660, 0
