tStart, tEnd, accentuation
0.000000, 1.134657, 0.5
0.000000, 1.444892, 0
0.000000, 1.789527, 0
0.000000, 2.126507, 0
0.000000, 2.442091, 0.5
0.000000, 2.781746, 0.5
0.000000, 3.110717, 0
0.000000, 3.441011, 0
0.000000, 3.764618, 0.4
0.000000, 4.092238, 0
0.000000, 4.409160, 0
0.000000, 4.729896, 0
0.000000, 5.068521, 0.3
0.000000, 5.403017, 0
0.000000, 5.729254, 0
0.000000, 6.059620, 0
0.000000, 6.394115, 0.5
0.000000, 6.724482, 0
0.000000, 7.063107, 0
0.000000, 7.381084, 0
0.000000, 7.715580, 0.5
0.000000, 8.041817, 0.2
0.000000, 8.376109, 0
0.000000, 8.710605, 0
0.000000, 9.040971, 0.4
0.000000, 9.367207, 0
0.000000, 9.689314, 0
0.000000, 10.011421, 0
0.000000, 10.345917, 0.3
0.000000, 10.672154, 0
0.000000, 11.019038, 0
0.000000, 11.341145, 0
0.000000, 11.671511, 0.5
0.000000, 11.997748, 0
0.000000, 12.328114, 0
0.000000, 12.654351, 0
0.000000, 12.997105, 0.3
0.000000, 13.327472, 0
0.000000, 13.657838, 0
0.000000, 13.992333, 0
0.000000, 14.319419, 0.3
0.000000, 14.645656, 0
0.000000, 14.967763, 0
0.000000, 15.293999, 0
0.000000, 15.624365, 0.3
0.000000, 15.950602, 0
0.000000, 16.297486, 0
0.000000, 16.627853, 0
0.000000, 16.962348, 0.4
0.000000, 17.280326, 0
0.000000, 17.602433, 0
0.000000, 17.924540, 0
0.000000, 18.267295, 0.3
0.000000, 18.601790, 0.2
0.000000, 18.931728, 0
0.000000, 19.262094, 0
0.000000, 19.592460, 0.3
0.000000, 19.914567, 0
0.000000, 20.249063, 0
0.000000, 20.580838, 0
0.000000, 20.909354, 0.3
0.000000, 21.230403, 0
0.000000, 21.573851, 0
0.000000, 21.894900, 0
0.000000, 22.223415, 0.4
0.000000, 22.559397, 0
0.000000, 22.880446, 0
0.000000, 23.201495, 0
0.000000, 23.544943, 0.3
0.000000, 23.865992, 0.3
