tStart, tEnd, accentuation
0.000000, 1.287100, 0
0.000000, 1.972356, 0
0.000000, 2.614223, 0 .2
0.000000, 3.266788, 0
0.000000, 3.930051, 0.3
0.000000, 4.571917, 0
0.000000, 5.241964, 0.3
0.000000, 5.894437, 0
0.000000, 6.559299, 0
0.000000, 7.220031, 0
0.000000, 7.876634, 0.3
0.000000, 8.541292, 0
0.000000, 9.197895, 0.3
0.000000, 9.846238, 0
0.000000, 10.511100, 0.3
0.000000, 11.184221, 0
0.000000, 11.828435, 0
0.000000, 12.493297, 0
0.000000, 13.162289, 0.3
0.000000, 13.823021, 0
0.000000, 14.480473, 0.3
0.000000, 15.128816, 0
0.000000, 15.781289, 0.3
0.000000, 16.458540, 0
0.000000, 17.115143, 0
0.000000, 17.755227, 0
0.000000, 18.432478, 0.3
0.000000, 19.101040, 0
0.000000, 19.753513, 0.2
0.000000, 20.410116, 0
0.000000, 21.066145, 0.3
0.000000, 21.723176, 0
0.000000, 22.387673, 0
0.000000, 23.044703, 0
0.000000, 23.709200, 0.3
