tStart, tEnd, accentuation
0.000000, 1.742171, 0
0.000000, 2.397011, 0.5
0.000000, 3.030727, 0.5
0.000000, 3.677117, 0
0.000000, 4.323507, 0
0.000000, 4.969897, 0.5
0.000000, 5.612062, 0.5
0.000000, 6.258452, 0
0.000000, 6.909067, 0
0.000000, 7.551232, 0.5
0.000000, 8.189173, 0.5
0.000000, 8.841959, 0
0.000000, 9.484124, 0
0.000000, 10.130514, 0.5
0.000000, 10.760630, 0.5
0.000000, 11.419694, 0
0.000000, 12.061847, 0
0.000000, 12.704012, 0.5
0.000000, 13.350402, 0.5
0.000000, 14.010434, 0
0.000000, 14.648374, 0
0.000000, 15.307439, 0.5
0.000000, 15.932705, 0.5
0.000000, 16.583320, 0
0.000000, 17.225485, 0
0.000000, 17.863425, 0.5
0.000000, 18.492916, 0.5
0.000000, 19.194228, 0
0.000000, 19.844843, 0
0.000000, 20.468764, 0
0.000000, 21.098254, 0
0.000000, 21.672823, 0
0.000000, 22.171346, 0
