tStart, tEnd, accentuation
0.000000, 0.718489, 0
0.000000, 1.058497, 0
0.000000, 1.395828, 0
0.000000, 1.709063, 0
0.000000, 2.022299, 0
0.000000, 2.359629, 0
0.000000, 2.688928, 0
0.000000, 3.007518, 0
0.000000, 3.328786, 0
0.000000, 3.666116, 0
0.000000, 3.987383, 0
0.000000, 4.292587, 0
0.000000, 4.613855, 0
0.000000, 4.948508, 0
0.000000, 5.272452, 0
0.000000, 5.591043, 0
0.000000, 5.898924, 0
0.000000, 6.229072, 0
0.000000, 6.557743, 0
0.000000, 6.862696, 0
0.000000, 7.181203, 0
0.000000, 7.520039, 0
0.000000, 7.837015, 0
0.000000, 8.155521, 0
0.000000, 8.477416, 0
0.000000, 8.812864, 0
0.000000, 9.131370, 0
0.000000, 9.430093, 0
0.000000, 9.738434, 0
0.000000, 10.084047, 0
0.000000, 10.419968, 0
0.000000, 10.741863, 0
0.000000, 11.067146, 0
0.000000, 11.402594, 0
0.000000, 11.710936, 0
0.000000, 12.012500, 0
0.000000, 12.327618, 0
0.000000, 12.666455, 0
0.000000, 12.988350, 0.2
0.000000, 13.317021, 0
0.000000, 13.635527, 0
0.000000, 13.954034, 0
0.000000, 14.282705, 0.2
0.000000, 14.611377, 0
0.000000, 14.926495, 0
0.000000, 15.251819, 0
0.000000, 15.573713, 0.2
0.000000, 15.898996, 0
0.000000, 16.217503, 0
0.000000, 16.532621, 0
0.000000, 16.861292, 0
0.000000, 17.196740, 0
0.000000, 17.508470, 0
0.000000, 17.837142, 0
0.000000, 18.165813, 0.2
0.000000, 18.482949, 0
0.000000, 18.791290, 0
0.000000, 19.116573, 0
0.000000, 19.441856, 0.2
0.000000, 19.770527, 0
0.000000, 20.078869, 0
0.000000, 20.407540, 0
0.000000, 20.739600, 0.2
0.000000, 21.061495, 0
0.000000, 21.384256, 0
0.000000, 21.706151, 0
0.000000, 22.024657, 0.2
0.000000, 22.349940, 0
0.000000, 22.671835, 0
0.000000, 22.995422, 0
0.000000, 23.320705, 0
0.000000, 23.645988, 0
0.000000, 23.961904, 0
0.000000, 24.280411, 0
