tStart, tEnd, accentuation
0.000000, 0.882099, 0
0.000000, 1.551107, 0
0.000000, 2.188287, 0
0.000000, 2.852239, 0
0.000000, 3.494774, 0
0.000000, 4.142663, 0
0.000000, 4.774488, 0
0.000000, 5.433086, 0
0.000000, 6.061887, 0
0.000000, 6.715130, 0
0.000000, 7.349633, 0
0.000000, 7.998688, 0
0.000000, 8.643900, 0
0.000000, 9.281080, 0
0.000000, 9.907378, 0
0.000000, 10.579362, 0
0.000000, 11.228718, 0
0.000000, 11.863221, 0
0.000000, 12.491160, 0
0.000000, 13.157790, 0.2
0.000000, 13.788406, 0
0.000000, 14.444327, 0.2
0.000000, 15.091006, 0
0.000000, 15.736218, 0.2
0.000000, 16.372189, 0
0.000000, 17.025432, 0
0.000000, 17.673753, 0
0.000000, 18.332350, 0.2
0.000000, 18.958648, 0
0.000000, 19.606537, 0.2
0.000000, 20.248467, 0
0.000000, 20.896299, 0.2
0.000000, 21.541047, 0
0.000000, 22.183581, 0.2
0.000000, 22.834147, 0
0.000000, 23.484714, 0
0.000000, 24.118053, 0
