tStart, tEnd, accentuation
0.000000, 0.361665, 0.8
0.000000, 0.684936, 0
0.000000, 1.045611, 0
0.000000, 1.422315, 0
0.000000, 1.793677, 0.8
0.000000, 2.162366, 0
0.000000, 2.498996, 0
0.000000, 2.852702, 0
0.000000, 3.216048, 0.8
0.000000, 3.551496, 0
0.000000, 3.907862, 0
0.000000, 4.245716, 0
0.000000, 4.596252, 0.8
0.000000, 4.935064, 0
0.000000, 5.305315, 0.8
0.000000, 5.647797, 0
0.000000, 6.013420, 0
0.000000, 6.379043, 0
0.000000, 6.726153, 0
0.000000, 7.064007, 0
0.000000, 7.411117, 0.7
0.000000, 7.758228, 0
0.000000, 8.119222, 0
0.000000, 8.475589, 0
0.000000, 8.822699, 0.7
0.000000, 9.169809, 0
0.000000, 9.526176, 0
0.000000, 9.864030, 0
0.000000, 10.215768, 0.7
0.000000, 10.544366, 0
0.000000, 10.919245, 0.7
0.000000, 11.294284, 0.7
0.000000, 11.632138, 0
0.000000, 11.974620, 0
0.000000, 12.326358, 0
0.000000, 12.668840, 0
0.000000, 13.015951, 0.6
0.000000, 13.381573, 0
0.000000, 13.742568, 0
0.000000, 14.089678, 0
0.000000, 14.436789, 0.7
0.000000, 14.797783, 0
0.000000, 15.168034, 0
0.000000, 15.505888, 0
0.000000, 15.852998, 0.6
0.000000, 16.204737, 0
0.000000, 16.551332, 0.6
0.000000, 16.893815, 0
0.000000, 17.254809, 0
0.000000, 17.597291, 0.7
0.000000, 17.953658, 0.6
0.000000, 18.291512, 0.7
0.000000, 18.657135, 0.6
0.000000, 19.008873, 0
0.000000, 19.386274, 0
0.000000, 19.737660, 0
0.000000, 20.089399, 0
0.000000, 20.431881, 0
0.000000, 20.797504, 0
0.000000, 21.139986, 0
0.000000, 21.491724, 0.6
0.000000, 21.834206, 0
0.000000, 22.195201, 0.5
0.000000, 22.542311, 0
0.000000, 22.870909, 0
0.000000, 23.213391, 0.7
0.000000, 23.546617, 0
0.000000, 23.870586, 0
0.000000, 24.222324, 0
0.000000, 24.615716, 0
0.000000, 25.009108, 0
