tStart, tEnd, accentuation
0.000000, 0.606985, 0.3
0.000000, 1.466108, 0.3
0.000000, 2.366459, 0.3
0.000000, 3.309556, 0.3
0.000000, 4.231280, 0.3
0.000000, 5.169034, 0.3
0.000000, 6.121021, 0.3
0.000000, 7.061446, 0.3
0.000000, 7.969812, 0.3
0.000000, 8.888864, 0.3
0.000000, 9.786544, 0.3
0.000000, 10.732313, 0.3
0.000000, 11.637429, 0.2
0.000000, 12.567168, 0.2
0.000000, 13.502250, 0.2
0.000000, 14.448019, 0.2
0.000000, 15.377758, 0.2
0.000000, 16.268240, 0.2
0.000000, 17.165919, 0.2
0.000000, 18.090315, 0.2
0.000000, 19.009367, 0.2
0.000000, 19.939106, 0.2
0.000000, 20.863502, 0.2
0.000000, 21.822748, 0.2
0.000000, 22.731113, 0.2
0.000000, 23.660852, 0.2
0.000000, 24.553188, 0.2
