tStart, tEnd, accentuation
0.000000, 1.799682, 0
0.000000, 2.652733, 0
0.000000, 3.460202, 0
0.000000, 4.280694, 0
0.000000, 5.133745, 0
0.000000, 5.999820, 0
0.000000, 6.917990, 0
0.000000, 7.946861, 0
0.000000, 8.930150, 0
0.000000, 9.945997, 0
0.000000, 10.981380, 0
0.000000, 11.958156, 0
0.000000, 12.931263, 0
0.000000, 13.909317, 0
0.000000, 14.929895, 0
0.000000, 15.897318, 0
0.000000, 16.864741, 0
0.000000, 17.842795, 0
0.000000, 18.820849, 0
0.000000, 19.703224, 0
0.000000, 20.585599, 0
0.000000, 21.404188, 0
0.000000, 22.244038, 0
0.000000, 23.051996, 0
