tStart, tEnd, accentuation
0.000000, 0.283281, 0.4
0.000000, 0.874106, 0.3
0.000000, 1.496859, 0.2
0.000000, 2.114541, 0.2
0.000000, 2.718794, 0.3
0.000000, 3.331105, 0.2
0.000000, 3.943415, 0.2
0.000000, 4.555726, 0.3
0.000000, 5.150641, 0.3
0.000000, 5.784436, 0.2
0.000000, 6.372576, 0.2
0.000000, 6.998315, 0.2
0.000000, 7.591826, 0.3
0.000000, 8.209508, 0.2
0.000000, 8.803019, 0.2
0.000000, 9.421986, 0.2
0.000000, 10.018183, 0.3
0.000000, 10.630497, 0.2
0.000000, 11.245493, 0.2
0.000000, 11.873917, 0.3
0.000000, 12.491598, 0.3
0.000000, 13.098538, 0.2
0.000000, 13.711006, 0.2
0.000000, 14.305910, 0.2
0.000000, 14.918580, 0.3
0.000000, 15.538633, 0.2
0.000000, 16.143950, 0.2
0.000000, 16.775074, 0.2
0.000000, 17.384054, 0.3
0.000000, 17.985653, 0.2
0.000000, 18.599412, 0.2
0.000000, 19.223155, 0.2
0.000000, 19.821063, 0.3
0.000000, 20.444806, 0.2
0.000000, 21.072239, 0.2
0.000000, 21.682737, 0.2
0.000000, 22.291717, 0.3
0.000000, 22.897006, 0.2
0.000000, 23.517058, 0.2
0.000000, 24.198317, 0.2
